section height in meters, section width in meters, material E in pascals, material G in pascals
0.5, 0.3, 30000000000, 12500000000
0.5, 0.3, 30000000000, 12500000000
0.5, 0.3, 30000000000, 12500000000
0.5, 0.3, 30000000000, 12500000000
0.5, 0.3, 30000000000, 12500000000
0.5, 0.3, 30000000000, 12500000000
0.5, 0.3, 30000000000, 12500000000
0.5, 0.3, 30000000000, 12500000000
0.5, 0.3, 30000000000, 12500000000
0.5, 0.3, 30000000000, 12500000000
0.5, 0.3, 30000000000, 12500000000
0.5, 0.3, 30000000000, 12500000000
0.5, 0.3, 30000000000, 12500000000
0.5, 0.3, 30000000000, 12500000000
0.5, 0.3, 30000000000, 12500000000
0.5, 0.3, 30000000000, 12500000000
